id,name,price,currency,image_url,in_stock,source_page,product_url
Bulbasaur,Bulbasaur,63.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/001-350x350.png,True,1,https://scrapeme.live/shop/Bulbasaur/
Ivysaur,Ivysaur,87.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png,True,1,https://scrapeme.live/shop/Ivysaur/
Venusaur,Venusaur,105.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/003-350x350.png,True,1,https://scrapeme.live/shop/Venusaur/
Charmander,Charmander,48.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png,True,1,https://scrapeme.live/shop/Charmander/
Charmeleon,Charmeleon,165.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png,True,1,https://scrapeme.live/shop/Charmeleon/
Charizard,Charizard,156.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png,True,1,https://scrapeme.live/shop/Charizard/
Squirtle,Squirtle,130.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png,True,1,https://scrapeme.live/shop/Squirtle/
Wartortle,Wartortle,123.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png,True,1,https://scrapeme.live/shop/Wartortle/
Blastoise,Blastoise,76.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/009-350x350.png,True,1,https://scrapeme.live/shop/Blastoise/
Caterpie,Caterpie,73.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png,True,1,https://scrapeme.live/shop/Caterpie/
Metapod,Metapod,148.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png,True,1,https://scrapeme.live/shop/Metapod/
Butterfree,Butterfree,162.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png,True,1,https://scrapeme.live/shop/Butterfree/
Weedle,Weedle,25.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/013-350x350.png,True,1,https://scrapeme.live/shop/Weedle/
Kakuna,Kakuna,148.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/014-350x350.png,True,1,https://scrapeme.live/shop/Kakuna/
Beedrill,Beedrill,168.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png,True,1,https://scrapeme.live/shop/Beedrill/
Pidgey,Pidgey,159.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/016-350x350.png,True,1,https://scrapeme.live/shop/Pidgey/
Pidgeotto,Pidgeotto,84.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/017-350x350.png,True,2,https://scrapeme.live/shop/Pidgeotto/
Pidgeot,Pidgeot,185.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/018-350x350.png,True,2,https://scrapeme.live/shop/Pidgeot/
Rattata,Rattata,128.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png,True,2,https://scrapeme.live/shop/Rattata/
Raticate,Raticate,60.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/020-350x350.png,True,2,https://scrapeme.live/shop/Raticate/
Spearow,Spearow,133.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/021-350x350.png,True,2,https://scrapeme.live/shop/Spearow/
Fearow,Fearow,95.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png,True,2,https://scrapeme.live/shop/Fearow/
Ekans,Ekans,55.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/023-350x350.png,True,2,https://scrapeme.live/shop/Ekans/
Arbok,Arbok,182.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/024-350x350.png,True,2,https://scrapeme.live/shop/Arbok/
Pikachu,Pikachu,37.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/025-350x350.png,True,2,https://scrapeme.live/shop/Pikachu/
Raichu,Raichu,140.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/026-350x350.png,True,2,https://scrapeme.live/shop/Raichu/
Sandshrew,Sandshrew,82.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/027-350x350.png,True,2,https://scrapeme.live/shop/Sandshrew/
